Review	Original	Predicted	NIST	BLEU	METEOR
produto muito ruim só é farinha produto muito diferente do original 	produto não é original 	 não gostei	0.1319049988210938	0.05501080739920602	0.13157894736842105
balançam precisa e ainda há cadastrar seu peso e meta excelente para o controle de peso 	controle de peso 	 livro muito bom	0.0	0	0.0
o notebook tem um bom acabamento e estou muito contente com ele não uso para programas muito pesados mas posso dizer que para usar internet photoshop e usar várias abas ao mesmo tempo está sendo excelente não trava e é muito eficiente até então recomendo 	ótimo desempenho 	 bom	0.0	0	0.0
desculpa mas não tenho como avaliar melhor porque não fiz uso assim que fizer uso entrarei em contato com voces 	bom 	 não gostei	0.0	0	0.0
gostei muito do produto atende minha necessidade entrega super rápida parabéns 	produto muito bom e preço justo 	 ótimo produto	0.007969428105624642	0.020237345084409754	0.08928571428571427
o design é muito bonito as vezes o peso muda quando se desce da balança e sobe no mesmo minuto por isso me peso quatro vezes para garantir rs quanto ao prazo de entrega demorou muito quase um mês 	bom produto 	 gostei do produto	0.3333333333333333	0.11362193664674995	0.2380952380952381
produto atualizado que não pode faltar para quem trabalha com direito 	gênero de ª necessidade 	 não gostei	0.0	0	0.0
esta aparecendo no display um circulo que quando recebo uma de que tipo de é esse e com quem falo 	produto muito bom 	 não gostei do produto	0.3962406251802891	0.08034284189446518	0.16129032258064518
excelente produto muito satisfeita entrega rápida 	moto g s 	 excelente	0.0	0	0.0
já conhecia o j já sabia que era muito bom resolvi comprar aqui por conta do preço que é melhor 	ótimo celular impossível não gostar 	 excelente	0.0	0	0.0
nao vi muita diferenca mas nao terminei de usar ainda 	experimentando 	 não gostei	0.0	0	0.0
excelente produto entrega antes do prazo eu recomendo 	micro ondas 	 excelente	0.0	0	0.0
a instalação da smart tv foi muito fácil e a imagem é ótima 	gostei 	 ótimo produto	0.0	0	0.0
ainda sem opinião formada peço mais um pouco 	estou começando a usar ainda não tenho opinião 	 gostei	0.0	0	0.0
a é muito boa e atende todos os requisitos porém chegou amassada chegou no prazo exatamente na véspera de um evento como eu havia programado e preferi desembalar e usá la sabendo que não teria mais direito a troca não reclamei mas fiquei chateado com esse problema causado provavelmente pelo transporte 	bom mas chegou amassado 	 gostei do produto	0.0	0	0.0
poderia vir com o cabo por que não especifica que ele não vem se eu soubesse teria comprado outra por que tive que sair pra comprar o cabo 	não vem com o cabo 	 não gostei	0.033688423633228826	0.03336574130316504	0.10638297872340426
produto ótimo de excelente qualidade superou as minhas expectativas 	muito bom 	 excelente	0.0	0	0.0
linda muito boa recomendo chegou rapidinho tudo funcionando 	ótima 	 excelente	0.0	0	0.0
prático e funcional simplifica o trabalho na cozinha utilizo para fazer maionese suco etc 	era oque esperava 	 muito bom	0.0	0	0.0
é a famosa frase pode ser aplicar bem a essa compra bom e barato o telefone atende todas as minhas nessecidade 	gostei do produto 	 ótimo produto	0.39624062518028896	0.09069748827745895	0.17241379310344826
o controle ajuda muito em vários jogos de muito boa qualidade 	muito bom 	 ótimo produto	0.0	0	0.0
comprei do vendedor sr comecei a pagar e quando vou rastrear o produto aparece dificuldade de entrega desde o dia desde então entro em contato e até agora não obtive resposta 	atraso na entrega 	 produto bom	0.0	0	0.0
excelente produto veio funcionando corretamente ademais é fácil de usar e a costura fica excelente são vários os acessórios que acompanham a máquina e com isso os benefícios são maiores muita satisfeita com a compra 	excelente máquina 	 muito bom	0.0	0	0.0
entrega dentro do prazo tudo conforme prometido gostei 	muito bom recomendo 	 gostei muito do produto	0.3962406251802891	0.08034284189446518	0.16129032258064518
celular muito bom excelente custo x benefício recomendo a compra a entrega foi perfeita o aparelho chegou antes do prazo previsto 	celular ótimo 	 ótimo produto	0.5	0.1495348781221221	0.25
entrega dentro do prazo super leve fina e excelente qualidade de audio e tela 	muito bom 	 excelente	0.0	0	0.0
super indico chegou em perfeitas condições e em dias 	recomendo 	 excelente	0.0	0	0.0
exatamente como na foto mto bom superou minhas expectativas 	muito bom 	 excelente	0.0	0	0.0
comprei o mini teclado com teclas porém enviaram um sem iluminação reclamei no site da loja até hoje não me deram qualquer resposta por tal motivo aviso aos colegas sobre tal atitude do vendedor 	mandaram produto errado 	 não é original	0.0	0	0.0
tou ainda mas o caixinha de som nao funciona o computador eh de i deveria andar mais rapido mas comparando com outro computador demora muito para inicia e funcionar especialmente o som nao funciona 	nao gostei 	 não gostei	0.5	0.1495348781221221	0.25
vaso igual a foto do site muito lindo acabamento perfeito super recomendo 	perfeito 	 excelente	0.0	0	0.0
o é lindo e bem fofinho a entrega é rápida recomendo 	lindo o elefante 	 excelente livro	0.0	0	0.0
entre sempre no 	excelente 	 muito bom	0.0	0	0.0
precisa de atualização e mesmo assim o youtube não funciona sendo que tem uma tecla dele no controle remoto 	é bom mas precisa de atualização 	 bom	3.419893349355421e-06	0.0011981952414407235	0.0909090909090909
no dia que o correio me entrego logo abri porém vi que veio com defeito na hora mandei recado e até agora não me retornaram tô com o produto é vai passar o dia como faço 	comprei e veio com defeito 	 produto com defeito	0.5151756252683922	0.12336445138236939	0.39062499999999994
gosto muito de comprar pelas americanas só q não minha cidade uma loja mas não acho nada a quero lá e tb o atendimento é péssimo 	excelente 	 não gostei do produto	0.0	0	0.0
gostei muito minha sala ficou maravilhosa só a cor que achei que seria um pouco mais forte mais tudo certo 	maravilhoso 	 excelente	0.0	0	0.0
ótimo custo benefício vale a pena produto de excelente qualidade 	excelente 	 ótimo produto	0.0	0	0.0
muito bom produto chegou muito antes do prazo relógio maravilho e de ótima qualidade 	muito bom 	 excelente	0.0	0	0.0
o aparelho para sobrancelhas não funciona como faço para trocar 	troca 	 não gostei	0.0	0	0.0
ela é otima porém não envolve toda a area do tronco 	cinta 	 não gostei	0.0	0	0.0
este é o verdadeiro thermo da muita energia e não me tirou o sono perdi kilos em menos de um mes 	produto muito bom 	 não gostei	0.0	0	0.0
o produto é bem grosso e a cola segura bem então acredito que vá durar bastante tempo por cima dos na minha cozinha o único porém que encontrei é a cor dos desenhos ser um pouco mais clara do que os do anúncio mas não achei isso muito ruim 	adorei 	 bom	0.0	0	0.0
o produto não foi entregue porém consta como entregue 	não recebi o produto 	 não recebi o produto	2.0	1.0	0.9921875
pelo custo beneficio vale a pena e pra quem esta começando no game e otimo 	razoavel 	 ótimo custo benefício	0.0	0	0.0
o produto chegou em dias eu recomendo muito bom mesmo 	adorei o produto 	 ótimo produto	0.39624062518028896	0.09069748827745895	0.17241379310344826
atendeu as expectativas mmmmm 	tv 	 gostei muito do produto	0.0	0	0.0
quando me mexo na cama o box baú faz muito barulho 	muito barulhento 	 preço muito bom	0.3333333333333333	0.11362193664674995	0.2380952380952381
excelente aparelho tive que trocar o chip pois ele e mano e o meu era mais fui m loja e foi super rápido rápido lindo já instalei vários aplicativos e funciona super bem bora 	excelente aparelho 	 excelente	0.1319049988210938	0.06541924356118012	0.2631578947368421
eu amei o aparelho é ótimo e super recomendo a loja chegou super rápido a nota fiscal foi emitida e no outro dia já foi entregue a cor dele é linda uma mistura de azul com prata amei super recomendo tanto o produto quanto a loja 	excelente 	 amei o produto	0.0	0	0.0
chegou dias antes surprendeu me muito recomendo 	multifuncional canon mb 	 excelente	0.0	0	0.0
é um bom produto 	bom 	 bom	0.0	0.1778279410038923	0.5
muito útil para a finalidade a que se destina produto muito bem feito e de qualidade 	gostei do produto 	 ótimo produto	0.39624062518028896	0.09069748827745895	0.17241379310344826
já tinha comprado antes e testei a durabilidade recomendo a compra substitui todas do meu prédio por essa marca 	excelente custo benefício 	 ótimo produto	0.0	0	0.0
não foi bom já foi pago a primeira parcela e o erro da entrega fez com que meu produto meu filho está esperando desdo dia 	que cancelar meu pedido 	 não recebi o produto	0.0	0	0.0
faz muito tempo q compro pelo site da lojas americanas sempre vem tudo certinho e antes da data super recomendo vcs estão de parabéns 	muitíssima satisfeita 	 excelente	0.0	0	0.0
ótimo liquidificador muito potente excelente compra 	ótima escolha 	 excelente	0.0	0	0.0
recomendo entrega rápida e dentro do prazo 	original 	 muito bom	0.0	0	0.0
produto de excelente qualidade e ótimo preço recomendo ao que pretendem comprar 	recomendo 	 ótimo produto	0.0	0	0.0
estou adorando o livro pois estou lendo ainda estou adorando e um livro que queria muito ler e achei muito barato nas americanas da entrega chegou antes do que tinham falado super recomendo adorei 	adorei muito meu produto 	 maravilhoso	0.0	0	0.0
livro bem didático para alunos do curso de letras melhor alguns processos da língua portuguesa 	excelente 	 muito bom	0.0	0	0.0
alguem ja comprou essa corrente qual o tamanho do 	urgente 	 frete	0.0	0	0.0
realmente o nome faz juz ao produto é requintado com ótimo acabamento 		 excelente			
lojas americana não entregou não me deram uma resposta 	ate hoje o produto não foi entregue comprei no 	 não recebi o produto	0.1485902344426084	0.053871541262825985	0.3006535947712418
gostei só podia ser mais reforçado pois como o objetivo é guardar brinquedos poderia ter as laterais com material mais resistência acredito que para roupas sujas seja melhor 	gostei só podia ser mais reforçado 	 bom produto	0.0	0	0.0
quem ainda não tem quando conhecer nao fica mais sem ele excelente 	produto muito pratico 	 muito bom	0.39624062518028896	0.09069748827745895	0.17241379310344826
sempre leve não tem como mudar para ficar pesado e a porcaria do que mostra a velocidade não funciona liga tudo mas só tem uma opção não comprem nada dessa marca 	mesmo 	 não gostei	0.0	0	0.0
cd em ótimas condições ainda no plástico compra chegou bem antes do prazo estipulado para entrega além disso as músicas são incríveis 	excelente compra 	 excelente	0.1319049988210938	0.06541924356118012	0.2631578947368421
excelente muito eficiente eu recomendo este produto 	gostei muito da batedeira 	 excelente	0.0	0	0.0
adorei o produto e além de que chegou muito rápido 	caneca linda 	 excelente	0.0	0	0.0
atende as necessidades apenas a bateria poderia durar mais 	atende a demanda 	 bom	0.0	0	0.0
tudo ok muito bom recomendo entrega rápida e produto de ótima qualidade 	muito bom 	 ótimo produto	0.0	0	0.0
conferi a pesagem quando chegou e deu certinho depois disso já usei para fazer uma receita e deu tudo certo é mais bonita do que parece também 	prático e confiável 	 dúvida	0.0	0	0.0
atenção professor se estiver à procura de um livro que lhe ajude em sua prática docente não compre esta obra pois não é ilustrada e mal explicada 	livro pequeno e não vale o preço que custa 	 bom	0.0	0	0.0
não gostei da demora pois havia muitos dias que eu tinha feito o pedido 	o produto chegou em ótimo estado 	 produto bom	0.007969428105624642	0.020237345084409754	0.08928571428571427
bem o que falar de uma leitura dessa é tudo de bom o tempo passa sem que percebemos nada ao nosso redor 	um excelente livro para começar 	 muito bom	0.0	0	0.0
até hj não recebi o produto e já efetuei a primeira parcela do pagamento todos entram em contto por e mail mais ninguém resolve a situação 	não recebi o produto 	 não recebi o produto	2.0	1.0	0.9921875
muito bom o produto e foi entregue antes da data prevista 	estou satisfeito 	 gostei muito do produto	0.0	0	0.0
entrega no prazo serto segunda pelo site americana tudo de bom 	ótimo produto recomendo 	 muito bom	0.0	0	0.0
produto de boa qualidade de fácil utilização e ótimo resultado 	cumpre o que promete 	 gostei muito do produto	0.0	0	0.0
o produto é de excelente qualidade o material é muito bom 	gostei muito 	 ótimo produto	0.0	0	0.0
uso a palheta no fit da família estou usando agora no civic é muito boa 	palheta 	 muito bom	0.0	0	0.0
achei ele bem bonito porém em velocidade achei muito fraco 	achei que seria melhor 	 bom	0.0	0	0.0
produto simples facilita a limpeza preço não muito barato 	simples e cumpre o que promete 	 bom	0.0	0	0.0
ele é bem bonito e rápido porém esperava mais da câmera 	gostei 	 bom	0.0	0	0.0
veio sem funcionar e no manual constam pouquíssimas de autorizadas o ar não sai arma e logo em seguida ficando sem funcionar classificação de energia c 	péssimo 	 não gostei	0.0	0	0.0
a entrega do produto varias vezes to esperando ate agora acho q vai ser minha ultima compra pelo americanas 	vcs tao de sacanagem 	 entrega demorada	0.0	0	0.0
utilizei em mala despachada e não tive problemas o material não é muito resistente mas parece ser suficiente para aguentar mais algumas viagens 	bom produto 	 bom custo benefício	0.3333333333333333	0.11362193664674995	0.2380952380952381
otima veio rapido e o produto e de excelente qualidade 		 excelente			
memória veio com defeito nenhum computador consegue reconhecer e a troca está sendo muito 	produto veio com defeito 	 produto com defeito	1.4108784746627263	0.19053627645285995	0.6552706552706553
já mandei vários e mails e não me responderam quase meses e as lojas americanas não me entrega o que comprei péssima ideia de compra 	entrega muito atrasado 	 não recebi o produto	0.0	0	0.0
fiz uma compra no site das lojas americanas em e não foi cumprido a entre no prazo determinado tenho acompanhado o rastreamento através da pagina da transportadora direct porem já fazem mais de uma semana que minha encomenda está sem atualização resolvam meu problema 	não recebi o produto 	 muito bom	0.0	0	0.0
a televisao é muito boa porem nao veio o controle remoto certo na propaganda esta mostrando um controle com comando de voz porem a minha nao veio com comando de voz bom estou tentando entrar em contato com voces para a gente resolver porem esta dificil por favor me mande o controle correto 	bom porem o controle veio errado 	 não gostei	0.0	0	0.0
fiz a compra de outros produtos no mesmo pedido mais so este foi aprovado sendo assim por ser aprovado so este produto acabou saindo caro o preco com frete do mesmo fora isso bom o produto 	excelente 	 muito bom	0.0	0	0.0
excelente produto vale a pena usar a marca elgin 	excelente produto 	 ótimo custo benefício	0.0	0	0.0
produto muito bom atendeu minhas expectativas indico a todos 	excelente 	 ótimo produto	0.0	0	0.0
o material da cortina é plastico a que eu recebi deve ter sido armazenada numa pilha onde o peso fez com que os ilhoses o material da cortina em vários lugares resultado recebi uma cortina com vários recortes toda furada 	péssima qualidade 	 muito bom	0.0	0	0.0
serviu perfeitamente pra mim aperta as rodas da minha bicicleta 	chave perfeita 	 bom	0.0	0	0.0
aparelho muito bom conforme anunciado recomendo para quem quer um celular intermediário 	gostei muito 	 muito bom	0.5	0.1495348781221221	0.25
as dimensões são totalmente diferentes do anunciado o boneco é muito pequeno me arrependi 	dimensões erradas 	 não gostei	0.0	0	0.0
aprovado ele é ótimo é rápido não trava pena que não veio com gabinete p cd dvd mais acredito que foi um erro meu não ter visto isso antes nas descrições do mesmo 	muito bom 	 bom	0.1319049988210938	0.06541924356118012	0.2631578947368421
ola boa noite ainda nao recebi o produto para que possa avalia lo 	aguardando a chegada dos produtos 	 não recebi o produto	0.0	0	0.10204081632653061
amei é um pouquinho mais claro do que eu esperava mas é só coloca lo em um lugar estratégico e esta tudo bem 	satisfeita com o produto 	 excelente livro	0.0	0	0.0
a bonequinha é linda e perfeita e a entrega que era para a dias uteis foi feita dias após a compra parabéns americanas 	perfeita 	 produto excelente	0.0	0	0.0
pequena mais eficiente rápida excedeu minhas espequitativas 	simples prática ótimo produto 	 ótimo produto	0.2638099976421876	0.11633369384516798	0.4934210526315789
porém so fiquei triste com a demora pois sou acostumada a compra pelo site e chegar com uma semana e esse demorou e esse chegou quase pra completar um mês 	bom 	 gostei do produto	0.0	0	0.0
como vou avaliar um produto que não recebi estou esperando o cancelamento dessa compra 	não recebi o produto 	 não recebi o produto	2.0	1.0	0.9921875
gostei muito é realmente como eu esperava e tudo muito simples como gosto 	é uma ótima tv 	 ótimo produto	0.0	0	0.0
achei o produto com uma boa qualidade em geral mas por se tratar de um rolo de m de altura os suportes de fixação aparentemente são muito frágeis quando a cortina tenho até medo 	ótimo produto exceto 	 regular	0.0	0	0.0
recomendo este produto bonito e boa capacidade de processamento 	excelente produto tablet t 	 gostei do produto	0.4702928248875754	0.0814136751754278	0.12820512820512822
adquiri esse produto e simplesmente amei não somente a qualidade da como o conforto para os pequenos melhor custo benefício sem dúvida pesquisei e vi vários modelos de carrinho fui no mais confortável e prático fácil de fechar e de carregar 	ótimo melhor impossível 	 livro muito bom	0.0	0	0.0
livro perfeito super recomendo para os estudantes da area da saúde livro chegou rápido e em perfeito estado 	ótimo 	 excelente	0.0	0	0.0
estou esperando para essa semana era para dia estamos no dia 	não recebi dentro do prazo 	 não gostei	0.033688423633228826	0.03336574130316504	0.10638297872340426
topzera muito top véi do céu bao demais topzera muito top véi do céu bao demais 	top 	 maravilhoso	0.0	0	0.0
entrega dentro do marcado de excelente qualidade 	ótimo produto 	 ótimo produto	1.0	0.316227766016838	0.9375
o aparelho é excelente gostei muito dos acessórios que vem junto facilita muito recomendo sem dúvidas 	excelente 	 excelente	0.0	0.1778279410038923	0.5
livro muito bom e interessante o poder do hábito é maior do que imaginamos 	muito bom 	 excelente livro	0.0	0	0.0
o produto veio com defeito mandei para a loja que enviou disseram que iriam enviar outro e aceitei mas até agora não me passam o código de rastreio e nem se ja enviado 	não consegui nem testar o produto 	 produto com defeito	0.11365649187006525	0.0417991745584234	0.08771929824561403
comprei meu aparelho ta com dias e nunca chegou passou dias que entrou na minha região e nada e agora sumiu não aparece mais dizendo onde o celular estar 	demora do meu produto 	 produto errado	0.1319049988210938	0.05501080739920602	0.13157894736842105
nao recomendo sit fez sacanagem fez compra no meu cartao 	fez duas compra no meu cartao 	 frete	0.0	0	0.0
a demora só foi colocar o fone no ouvido quando tirei ele ja veio desmontado na minha mão como se estivesse colado com cola super bonder não vale a pena pessoal 	com de uso 	 não é o frete	0.0	0	0.0
produto bom mas apenas um celular de entrada com boa bateria 	tudo ok 	 bom	0.0	0	0.0
muito bom o produto recomendo 	otimo 	 ótimo produto	0.0	0	0.0
meu produto veio com defeito desde o dia até agora estou me sentido lesado nem uma providencia foi tomada por parte da lojas americana essa e maneira que vocês tratam o cliente irei fazer b o procurar procom da minha cidade 	atendimento pessimo 	 produto com defeito	0.0	0	0.0
produto bom e silencioso chegou dentro do prazo mesmo a transportadora não sendo muito competente única coisa que tenho dúvida é que no manual vêm a dizer que acompanha pente mas não caixa não vem 	dentro do anunciado 	 gostei muito do produto	0.3962406251802891	0.08034284189446518	0.16129032258064518
o produto demorou para chegar e ainda veio errado e a loja ao invés de sanar o erro fazendo a troca do produto simplesmente me pediu para danificar o mesmo para que após isso fosse feito o reembolso 	não gostei do produto 	 produto errado	0.1319049988210938	0.05501080739920602	0.13157894736842105
vcs coloca vários relógios em promoção pq já tá a muito tempo com vcs a pulseira do meu relógio veio enferrujada não nem troca pq mandei de presente pra minha mãe que mora em recife lamentavel 	gostei mas veio com a pulseira enferrujada 	 não gostei do produto	0.18741497459564194	0.037951271263104894	0.07462686567164178
gostei muito do produto só não gostei do pincel q veio errado e o pó acrílico q veio aberto acho q deve ter do jeito q foi transportado mais fora isso amei tudo 		 gostei do produto			
produto que supera as expectativas em se tratar da apple recomendo este mac é muito top 	muito top gostei d 	 excelente	0.0	0	0.0
processador otimo designe muito lindoo sem falar que a camera ate debaixo d'água é otima 	ameii o celular 	 excelente	0.0	0	0.0
bom apenas pensei que era de melhor qualidade é muito fino e leve 	bom 	 ótimo custo benefício	0.0	0	0.0
eu recomendo a quem estiver interessado em um microfone para uso pessoal e doméstico 	estou satisfeito com o produto 	 gostei muito do produto	0.4705596416553929	0.06257106818159155	0.10204081632653061
produto pela faixa de preço me surpreendeu bateria de com boua duração o disigner tambem é um diferencial ele é bem fino valeu a compra até o momento 	produto de qualidade otimo acabamento e custo beneficio 	 não é o produto	0.09892874911582035	0.029556479778261396	0.06578947368421052
eu fiquei meses aguardando a entrega pra depois min falar que nao tem o produto muita sacanagem paguei tudo certo pra depois vim falar isso ai galera nao compre pela nave é so propaganda falsa eu acho a americanas tem que sair ft ora dessa parceria furada 	essa nave é maior furada engana trouxa 	 não recebi o produto	0.0	0	0.0
apenas uma observação aos pais que vão compra para seus filhos de anos acima a bicicleta e pequena assim que recebi o produto tive que trocar por outro modelo aqui na minha cidade e pagar a diferença troquei por uma aro 	excelente produtos 	 produto bom	0.0	0	0.25
super recomendo produto de qualidade entregue no prazo 	gostei do produto 	 excelente	0.0	0	0.0
esta caixa atende ao que se espera com muita qualidade e praticidade 	muito boa 	 muito bom	0.5	0.1495348781221221	0.25
recomendo produto original tudo ok entregue dentro do prazo prometido 	ótimo 	 muito bom	0.0	0	0.0
bom a entrega que deixa a desejar ele não entregam no prazo e ainda diz que tem dificuldade com o endereço e nem liga para pessoa para se informar 	bom 	 gostei do produto	0.0	0	0.0
sentindo decepcionada móvel avariado não confio mais nesta de serviço aguardando retorno das lojas americanas 	péssimo 	 não recebi o produto	0.0	0	0.0
ainda não recebi o produto quase dias do pagamento realizado mas o fornecedor ainda não enviou o produto 	não recebi o produto 	 não recebi o produto	2.0	1.0	0.9921875
o produto é bom era o que eu esperava guarda o papel higiênico evitando insetos e poeira 	ótimo 	 bom	0.0	0	0.0
produto sensacional com dois anos de validade ótimo custo benefício entrega bem antes do previsto sensacional mais eles ficaram de enviar as válvulas e não enviaram 	ótimo 	 muito bom	0.0	0	0.0
o produto é bom e sem sombra de dúvidas é bem mais prático do que os outros métodos de depilação engana se quem compra pensando que não dói mas acho que a dor vai se tornando mais suportável a cada depilação 	cumpre o que promete 	 gostei do produto	0.0	0	0.0
excelente site entrega rápida produto com custo benefício muito bom 	avaliação de compra 	 ótimo produto	0.0	0	0.0
fiz o pedido entregou faltando um item mas o que foi entregue foi antes data estipulada estou no aguardo das que deve estar a caminho 	acima da expectativa 	 não recebi o produto	0.0	0	0.0
a é muito bonita super útil principalmente pra quem compra aquelas de embalagem de papel como eu e é um ótimo preço recomendo 	ótimo 	 excelente	0.0	0	0.0
de da é um produto fenomenal para articulações super recomendo 	ótimo produto 	 gostei muito do produto	0.25	0.08034284189446518	0.22727272727272727
gostei do produto porém não coube na minha privada qndo meu filho senta escorrega 	gostei do produto 	 não gostei	0.39624062518028896	0.09069748827745895	0.17241379310344826
a bateria nao funciona e ate hoje espero a troca ja faz algumas semanas e nao aparece o tecnico da dell pra agendar 	decepcionou 	 não gostei	0.0	0	0.0
a americanas e sua logistica pela é a pior do brasil nunca entregam dentro do prazo servico lixo 	não comprem logistica da americanas pela 	 não recebi o produto	0.32312031259014445	0.04873039689743777	0.08620689655172413
a impressora funciona mas a impressão não fica boa há variação de tinta no texto impresso 	impressão irregular 	 bom	0.0	0	0.0
minha máquina ainda não chegou aqui por isso não posso avaliar 	ainda não chegou 	 não recebi o produto	0.3962406251802891	0.08034284189446518	0.16129032258064518
o meu veio com defeito e o atendimento da aquarius é horrível tem que mandar para o rio com prazo de devolução de dias a partir da data de recebimento lá arrependido 	com defeito 	 produto com defeito	0.6666666666666666	0.24028114141347542	0.8928571428571429
nunca mais compro nessa loja atendimento horrivel o controle nn chegou e tive q pagar os reais 	aguardando nota fiscal 	 não gostei do produto	0.0	0	0.0
bom gostei muito do produto chegou antes do prazo informado bem embalado e recomendo as pessoas que buscam praticidade no seu dia a dia sempre faço excelentes compras aki 	muito prático e eficaz gostei 	 muito bom	0.033688423633228826	0.03336574130316504	0.10638297872340426
a entrega foi feita dentro do prazo preço compatível com o produto 	produto compatível com o preço 	 bom	0.0	0	0.0
o purificador foi comprado em de janeiro de chegou com defeito até hoje a autorizada não conseguiu consertar por falta de peças 	aparelho com defeito 	 produto com defeito	1.0566416671474375	0.24028114141347542	0.625
é bom porém tem duas coisas q não me agradaram ele não tem entrada para o cabo da internet e tbm não tem para ler cd ou seja só funciona com wi fi 	produto bom 	 bom	0.1319049988210938	0.06541924356118012	0.2631578947368421
obrigado americanas chegou antes do prazo estipulado produto embalado certinho perfeito 	excelente 	 excelente	0.0	0.1778279410038923	0.5
primeiro smartphone que compro da motorola até agora só tenho elogios utilizo mais por questão de comunicação mesmo um pouco para fotos e para as minhas tarefas ele atende muito bem 	muito bom 	 muito bom	1.0	0.316227766016838	0.9375
comprei numa terça feira a noite e recebi na quinta feira a tarde ou seja me entregaram em menos de horas 	entrega super hiper mega rápido 	 não recebi o produto	0.0	0	0.0
amei a rapidez da entrega e é um excelente produto minha filha amou 	amei o produto 	 produto excelente	0.39624062518028896	0.09069748827745895	0.17241379310344826
a mesinha atendeu minhas expectativas fácil de montar apesar de não ter vindo todos os parafusos serviu perfeitamente para máquina singer 	satisfeita 	 gostei muito do produto	0.0	0	0.0
comprei um notebook com a empresa americanas com da marca lenovo além do produto possuir um ótimo desempenho a empresa também merece ser citada pelo ótimo serviço de entrega e preço do mesmo recomendo seus serviços 	gostei muito do produto lenovo que comprei 	 excelente	0.0	0	0.0
entrega correta e rápida muito bacana 	muito bom 	 ótimo produto	0.0	0	0.0
recomendo muito bom nao trava super rapido estou satisfeito 	otimo produto 	 ótimo produto	0.5	0.1495348781221221	0.25
recomendo este produto pois ele corresponde bem no trabalho nos estudos e no lazer 	o produto me atende muito bem 	 muito bom	0.007969428105624642	0.020237345084409754	0.08928571428571427
fácil utilização ocupa pouco espaço rápida e prática 	gostei muito 	 muito bom	0.5	0.1495348781221221	0.25
produto muito bom chegou antes do prazo minha filha adorou super recomendo 	gostei muito 	 excelente	0.0	0	0.0
gostei muito sobre todos os aspectos excelente produto recomendaria sim para os meus amigos 	estrelas 	 ótimo produto	0.0	0	0.0
relação custo benefício muito boa atendeu as expectativas 	muito bom 	 ótimo produto	0.0	0	0.0
rápido fácil prático simples e divertido eu recomendo muito bom mesmo 	produto 	 muito bom	0.0	0	0.0
otima qualidade entrega rapida parabéns pela rapidez 	otimo 	 excelente	0.0	0	0.0
produto de ótima qualidade muito bom gostei muito 	excelente 	 ótimo produto	0.0	0	0.0
muito boa panela excelente e muito bonita espero fazer muitas com ela 	avaliação 	 excelente	0.0	0	0.0
recebi um produto totalmente diferente do disposto na imagem diferente em tamanho e cor estou até agora esperando um retorno sem sucesso 	recebi o produto errado 	 produto errado	0.2638099976421876	0.11633369384516798	0.4934210526315789
super compacta perfeita para mesa do escritório home office cozinha seria perfeita se tivesse na cor branca também 	a pequena perfeita 	 excelente	0.0	0	0.0
uma porcaria frágil com as pesas soltas não esquenta direito nem alisa o cabelo 	ruim de mais produto tudo frágil 	 não gostei	0.0	0	0.0
eu recomendo pq chegou no prazo e como eu havia pedido 	satisfeita 	 excelente	0.0	0	0.0
não posso da opinião num pruduto que não recebi ainda a entrega estava prevista para dia de abril hoje dia do mesmo mês e eu não recebi a encomenda ainda por favor me informe sobra o atraso sem mais no momento grato 	produto ainda não entregue 	 não recebi o produto	1.0	0.09554427922043669	0.25
de excelente qualidade confortáveis e bonitas um desenho moderno 	muito bonita 	 excelente	0.0	0	0.0
impressora multi funcional compacta bonita muito boa para o dia a dia recomendo com nota máxima 	surpreendente 	 muito bom	0.0	0	0.0
estou completamente insatisfeita adquiri este produto o site que o produto já foi entregue porém não recebi o produto venho tentando entrar e contato há alguns dias e não recebi resposta 	avaliação negativa 	 não recebi o produto	0.0	0	0.0
perfume para homens elegantes sexy e marcante são as palavras que me vêem a mente fixou muito bem na minha pele e a projeção é absurda para o recomendo que use para temperaturas acima de graus bom para festas formais e principalmente nota 	e sexy 	 bom	0.0	0	0.0
impressora ótima impressão perfeita sempre recomendarei aos meus amigos 	gostei e atende as minhas necessidades 	 ótimo produto	0.0	0	0.0
tapete atendeu a expectativa veio conforme a descrição os pelos do tapete são curtos e macios a cor veio conforme o anúncio 	satisfeita com o produto 	 bom	0.0	0	0.0
recomendo sem medo de errar muito bom mesmo pode compra sem medo 	excelente 	 muito bom	0.0	0	0.0
prático compacto moderno e potente super recomendo 	execelente 	 excelente	0.0	0	0.0
aparelho de fácil manuseio aplicativos disponíveis e teclado de uso facilitado 	ideal para seu dia a dia 	 livro muito bom	0.0	0	0.0
produto de ótima qualidade super confortável chegou antes do prazo 	ótimo produto 	 excelente	0.0	0	0.0
celular muito bom atendeu as especificaçoes da venda 	produto bom 	 bom	0.1319049988210938	0.06541924356118012	0.2631578947368421
acabei de receber o produto o tripé é bem leve e parece ser bem prático para transportar as partes em plástico parecem bastante frágeis a bolsa que acompanha o produto é prática porém a minha veio com a alça toda desfiada em geral acredito que vale a pena o custo benefício apenas para iniciantes 	leve e prático 	 bom custo benefício	0.0	0	0.0
microondas novo mas quando coloco a mão na lateral levo choque 	ruim 	 muito bom	0.0	0	0.0
produto bom e atendeu as expectativas porém para carros hatch é muito grande e ocupa bastante espaço do banco traseiro 	recomendo 	 bom	0.0	0	0.0
